song_id,song_name,album_name,artist_name
1060,Party (feat. Usher & Gucci Mane),Heartbreak on a Full Moon,Chris Brown
4376,Ayo,Fan of A Fan The Album (Expanded Edition),Tyga
6357,Hit the Quan - Original Version,Hit the Quan,iLoveMemphis
8518,Rolex,Rolex,Ayo & Teo
8842,Money Longer,Lil Uzi Vert vs. The World,Lil Uzi Vert
8844,You Was Right,Lil Uzi Vert vs. The World,Lil Uzi Vert
7924,Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos
7438,Bank Account,Issa Album,21 Savage
9020,Rake It Up (feat. Nicki Minaj),I Still Am,Yo Gotti
7926,Slippery (feat. Gucci Mane),Culture,Migos
7819,To the Max (feat. Drake),Grateful,DJ Khaled
4068,Bruk It Down,Sweet Jamaica,Mr. Vegas
10414,Follow de Leader - Edit Radio,Follow de Leader,Nigel & Marvin
1670,She Never Lets It Go To Her Heart,All I Want,Tim McGraw
1606,Please Remember Me,A Place In The Sun,Tim McGraw
5678,Live Like You Were Dying,Live Like You Were Dying,Tim McGraw
365,Neon Moon,The Essential Brooks & Dunn,Brooks & Dunn
355,Brand New Man,The Essential Brooks & Dunn,Brooks & Dunn
7244,I Lost It,Greatest Hits,Kenny Chesney
7248,You Had Me from Hello,Everywhere We Go,Kenny Chesney
1650,She's Got It All,I Will Stand,Kenny Chesney
7245,Don't Happen Twice,Greatest Hits,Kenny Chesney
11108,Don't Close Your Eyes,16 Biggest Hits,Keith Whitley
11109,When You Say Nothing at All,16 Biggest Hits,Keith Whitley
6543,One More Day,16 Biggest Hits,Diamond Rio
6125,Just the Way You Are,The Stranger (Legacy Edition),Billy Joel
353,Brandy (You're a Fine Girl),Looking Glass,Looking Glass
5599,Strange Magic,All Over The World: The Very Best Of ELO,Electric Light Orchestra
11022,Lovely Day,Menagerie,Bill Withers
7542,You Make My Dreams (Come True),Voices,Daryl Hall & John Oates
299,Up Where We Belong,Platinum & Gold Collection,Jennifer Warnes
346,Summer Breeze,Seals & Crofts' Greatest Hits,Seals and Crofts
4725,Rosanna,Toto IV,TOTO
902,Everywhere - 2017 Remaster,Tango In the Night (Deluxe Edition),Fleetwood Mac
426,Keep on Loving You,Hi Infidelity (30th Anniversary Edition),REO Speedwagon
8590,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson
3636,All About That Bass,Title (Deluxe),Meghan Trainor
10839,Your Body,Lotus (Deluxe Version),Christina Aguilera
8260,Before He Cheats,Some Hearts,Carrie Underwood
3644,Lips Are Movin,Title (Deluxe),Meghan Trainor
3637,Dear Future Husband,Title (Deluxe),Meghan Trainor
3643,Title,Title (Deluxe),Meghan Trainor
4057,Ain't No Other Man,Keeps Gettin' Better: A Decade of Hits,Christina Aguilera
8695,Run the World (Girls),4,Beyoncé
151,Work Bitch,Britney Jean (Deluxe Version),Britney Spears
2359,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira
4696,It's Tricky,Raising Hell,Run–D.M.C.
2591,Can't Stop Dancin',Can't Stop Dancin',Becky G
10828,No Scrubs,Fanmail,TLC
8535,Dirrty (feat. Redman),Stripped,Christina Aguilera
10423,Like a Boy,The Evolution,Ciara
3744,Hey Ya! - Radio Mix,Speakerboxxx/The Love Below,Outkast
5526,Rock Your Body,Justified,Justin Timberlake
8395,Stressed Out,Blurryface,Twenty One Pilots
3852,Desolation Row,Highway 61 Revisited,Bob Dylan
3848,Like a Rolling Stone,Highway 61 Revisited,Bob Dylan
7808,A Perfect Sonnet,Every Day And Every Night,Bright Eyes
9786,If Winter Ends,Letting Off The Happiness,Bright Eyes
5902,Shelter from the Storm,Blood On The Tracks,Bob Dylan
9791,June On The West Coast,Letting Off The Happiness,Bright Eyes
3473,Hurricane,Desire,Bob Dylan
1948,Saturday As Usual,A Collection Of Songs Written And Recorded 1995-1997,Bright Eyes
1951,The Awful Sweetness Of Escaping Sweat,A Collection Of Songs Written And Recorded 1995-1997,Bright Eyes
7767,Cartoon Blues,Four Winds,Bright Eyes
